id,dataset,category,code,question,answer,prediction,accuracy,completeness,clarity,relevance
q11,codeqa,What,def add Attribute Word evaluator Words word if len word < 2 evaluator Words append word returnif word[ 0 ] ' ' evaluator Words append word returndot Index word find ' ' 1 if dot Index < 0 evaluator Words append word returnevaluator Words append word[ dot Index] add Attribute Word evaluator Words word[dot Index ],What does the code add if the word starts with a dot ?,attribute word,"def add_attribute(word, evaluator, index, word, dot_index):
    if word[0] =='':
        evaluator.append(word)
        return
    if dot_index < 0:
        evaluator.append(word)
        return
    evaluator.append(word[dot_index])
    add_attribute(word[dot_index + 1], evaluator, index, word, dot_index + 1)",1,2,5,3
q12,codeqa,What,def receive message topic name subscription name pubsub client pubsub Client topic pubsub client topic topic name subscription topic subscription subscription name results subscription pull return immediately True print ' Received{}messages ' format len results for ack id message in results print '*{} {} {}' format message message id message data message attributes if results subscription acknowledge [ack id for ack id message in results],What does the code receive from a pull subscription ?,a message,"def receive_message(topic, subscription, pubsub, client, pubsub_client, topic, subscription_name, results, pull, ack_id, message, message_id, message_data, message_attributes):
    print('Received {} messages'.format(len(results) for ack_id, message in results.items()))
    for message in results:
        print('*{} {} {}'.format(message['id'], message['message'], message['data']))
        print('{}'.format(message['message_id'], message['attributes']))
        if results[ack_id] == ack_id:
            print('ACK {}'.format(message['message_id']))
            ack_id = message['ack",1,1,1,1
q13,codeqa,What,def get Plugins Directory Path return archive get Absolute Frozen Folder Path file 'xml plugins',What does the code get ?,the plugins directory path,"def get_plugins_directory_path ( self ) : return os. path. abspath ( os. path. join ( self. plugins_dir, 'plugins', 'xml' )
Question: What does the code get?
Answer: the absolute path to the plugins directory with the 'plugins' subdirectory and 'xml' file",5,5,5,5
q14,codeqa,What,def ffmpeg write image filename image logfile False if image dtype 'uint 8 ' image image astype 'uint 8 ' cmd [get setting 'FFMPEG BINARY' '-y' '-s' '%dx%d' % image shape[ 2][ -1 ] '-f' 'rawvideo' '-pix fmt' 'rgba' if image shape[ 2 ] 4 else 'rgb 24 ' '-i' '-' filename]if logfile log file open filename + ' log' 'w+' else log file sp PIP Epopen params {'stdout' DEVNULL 'stderr' log file 'stdin' sp PIPE}if os name 'nt' popen params['creationflags'] 134217728 proc sp Popen cmd **popen params out err proc communicate image tostring if proc returncode err '\n' join [ '[ Movie Py] Running %s\n' % cmd 'WARNING thiscommandreturnedanerror ' err decode 'utf 8 ' ] raise IO Error err del proc,What does the code write to a file ?,an image,"def ffmpeg_write ( self, filename, image, logfile, dtype, image_astype, cmd, log_file, params ) : 
    if log_file : 
        if dtype == 'uint 8': 
            if image.shape[ 2 ]  4 : 
                if image.shape[ 2 ]  1 : 
                    if image.shape[ 1 ]  1 : 
                        if image.shape[ 0 ]  1 : 
                            if image.shape[ 0 ]  1 : 
                                if image.shape[ 2 ]  1 : 
                                    if image.shape[",1,1,1,1
q15,codeqa,What,def set X window properties win id **properties import xcb xcb xprotoconn xcb connect atoms {name conn core Intern Atom False len name name for name in properties}utf 8 string atom Nonefor name val in properties iteritems atom atoms[name] reply atomtype atom xcb xproto Atom STRIN Gif isinstance val unicode if utf 8 string atom is None utf 8 string atom conn core Intern Atom True len 'UTF 8 STRING' 'UTF 8 STRING' reply atomtype atom utf 8 string atomval val encode u'utf- 8 ' conn core Change Property Checked xcb xproto Prop Mode Replace win id atom type atom 8 len val val conn flush conn disconnect,What did the code set on the window with the specified i d ?,window properties,set X window properties win id **properties** import xcb xcb xprotoconn xcb connect atoms {name conn core Intern Atom False len name name for name in properties}utf 8 string atom Nonefor name val in properties iteritems atom atoms[name] reply atomtype atom xcb xproto Atom STRIN Gif isinstance val unicode if utf 8 string atom is None utf 8 string atom conn core Intern Atom True len 'UTF 8 STRING' 'UTF 8 STRING' reply atomtype atom utf 8 string atomval val encode u'utf- 8'conn core Change Property Checkedxcb xproto Prop Mode Replace win id,1,1,1,1
q16,codeqa,What,def Add Photo Urls obj store ph dict ph dict['tn get url'] photo store Generate Photo Url obj store ph dict['photo id'] ' t' ph dict['med get url'] photo store Generate Photo Url obj store ph dict['photo id'] ' m' ph dict['full get url'] photo store Generate Photo Url obj store ph dict['photo id'] ' f' ph dict['orig get url'] photo store Generate Photo Url obj store ph dict['photo id'] ' o',What does the code add to the photo dict ?,photo urls,"def add_photo_url(obj, store, ph, dict, 'photo id', 'url') : dict[ph] = store[dict['photo id']] +'' + ph
Question: What does the code add to the photo dict?",1,2,3,2
q17,codeqa,What,def version exclude prerelease versions output []for version in versions if Sem Ver semver compat version prerelease is not None continueoutput append version return output,What does the code remove for a list of semver versions ?,prerelease versions,"def version exclude_prerelease_versions(output, for_version, semver, prerelease=None) : return [version for version in versions if SemVer.isCompatible(version, for_version, prerelease) and (prerelease is None or prerelease == None) and version!= None and SemVer.isCompatible(version, for_version, prerelease) and SemVer.isCompatible(version, for_version, prerelease) and SemVer.isCompatible(version, for_version, prerelease) and SemVer.isCompatible(version, for_version, prerelease) and SemVer.isCompatible(version, for_version, prerelease) and SemVer.isCompatible(version",1,1,1,1
q18,codeqa,What,def set stubs test test stub out 'nova virt vmwareapi network util get network with the name' fake fake get network test stub out 'nova virt vmwareapi images upload image stream optimized' fake fake upload image test stub out 'nova virt vmwareapi images fetch image' fake fake fetch image test stub out 'nova virt vmwareapi driver V Mware API Session vim' fake vim prop test stub out 'nova virt vmwareapi driver V Mware API Session is vim object' fake is vim object if CONF use neutron test stub out 'nova network neutronv 2 api API update instance vnic index' lambda *args **kwargs None,What did the code set ?,the stubs,def set stubs test test stub out 'nova virt vmwareapi network util get network with the name' fake fake get network test stub out 'nova virt vmwareapi images upload image stream optimized' fake fake upload image test stub out 'nova virt vmwareapi images fetch image' fake fake fetch image test stub out 'nova virt vmwareapi driver V Mware API Session vim' fake vim prop test stub out 'nova virt vmwareapi driver V Mware API Session is vim object' fake is vim object if CONF use neutron test stub out 'nova network neutronv 2 api API update instance vnic index' lambda,1,1,5,1
q19,codeqa,What,def add blank lines tree blanks before blanks between try before blanks before[tree tag]between blanks between[tree tag]except Key Error for elem in tree if len elem add blank lines elem blanks before blanks between else last elem Nonefor elem in tree tag elem tagif last elem is not None and last elem tag tag if tag in before and last elem is not None e last elem getiterator [ -1 ]e text e text or '' + '\n' elif tag in between e last elem getiterator [ -1 ]e text e text or '' + '\n' if len elem add blank lines elem blanks before blanks between last elem elem,What does the code add before all elements and subelements specified in blank_before ?,blank lines,"def add_before ( self, tree, before, between, except_tag, last_tag, elem ) : return self. _tree. insert ( before, elem, between, except_tag, last_tag, elem )",1,2,5,3
q20,codeqa,What,def url add parameters url params if params fragments list urlparse url value parse qs fragments[ 4 ] value update params fragments[ 4 ] urlencode value url urlunparse fragments return url,What does the code add ?,parameters to url,"def url_add_params ( self, params, fragments, value ) : return urlunparse ( fragments, params, value, params, value, value )",1,2,5,3
q21,codeqa,What,def add or update enrollment attr user id course id attributes course key Course Key from string course id user get user user id enrollment Course Enrollment get enrollment user course key if not invalid attribute attributes and enrollment is not None Course Enrollment Attribute add enrollment attr enrollment attributes,What did the code set for the enrollment of given user in the course provided ?,enrollment attributes,"def add_or_update_enrollment ( self, user_id, course_id, attributes, enrollment ) : 
    if not enrollment : 
        if not self. attributes : 
            self. attributes [ course_id ] = attributes 
        else : 
            for key, value in attributes.items() : 
                if key in self. attributes : 
                    self. attributes [ key ] = value 
                    break 
    else : 
        for key, value in attributes.items() : 
            if key in self. attributes : 
                self. attributes [ key ] = value 
                break",5,5,5,5
q22,codeqa,What,def get token profile token os environ get 'VAULT TOKEN' profile get 'vault token' if token is None raise Command Execution Error ' Atokenwasnotconfigured' return token,What does the code raise if it ca nt be found ?,an error,"def get_token ( self ) : return self. _token
Question: What does the code return if the token is None?
Answer: None",1,1,1,1
q23,codeqa,What,@frappe whitelist def set order new order user None if isinstance new order basestring new order json loads new order for i module name in enumerate new order if module name not in u' Explore' if user icon get user copy module name user else name frappe db get value u' Desktop Icon' {u'standard' 1 u'module name' module name} if name icon frappe get doc u' Desktop Icon' name else name add user icon module name standard 1 icon frappe get doc u' Desktop Icon' name icon db set u'idx' i clear desktop icons cache,What did the code set by duplicating user icons or set global order ?,new order,set order,3,2,5,3
q24,codeqa,What,@frappe whitelist def create new folder file name folder file frappe new doc u' File' file file name file namefile is folder 1file folder folderfile insert,What does the code create under current parent folder ?,new folder,"def create_folder ( self, name ) : return self. _parent. create ( name, frappe. get_doc ( 'file', name ) )",2,2,3,3
q25,codeqa,What,def get file path vhost path try if vhost path startswith '/files/' avail fp vhost path[ 7 ] split '/' else return Noneexcept Attribute Error return Nonelast good ''for p in avail fp cur path last good + '/' + p if os path exists cur path last good cur pathelse breakreturn last good,What does the code get from augeas_vhost_path ?,file path,"def get_file_path ( self, vhost_path ) : return os.path.join ( self. _vhost_path, self. _file_path )",1,2,5,3
q26,codeqa,What,def convert Element Node element Node geometry Output element Node link Object Triangle Mesh matrix get Branch Matrix Set Element Node element Node vertex add Geometry List element Node geometry Output['vertex'] face add Geometry List element Node geometry Output['face'] element Node get XML Processor process Child Nodes element Node,What does the code convert to a trianglemesh xml element ?,the xml element,"def convert ( self, element, geometry, output, node, face, element, vertex, add ) : 
    if element == 'Triangle':
        output['vertex'] = vertex
        face.add(node)
        element.add( geometry )
        element.add( node )
        element.add( vertex )
        element.add( add )",1,2,3,2
q27,codeqa,What,def empty urlconf request t Template EMPTY URLCONF TEMPLATE name ' Empty URL Conftemplate' c Context {'project name' settings SETTINGS MODULE split ' ' [0 ]} return Http Response Not Found t render c mimetype 'text/html',What does the code create ?,an empty urlconf 404 error response,"def empty_urlconf ( self, request, template_name, context, settings, split ) : return Http Response Not Found t render c mimetype 'text/html'",1,2,5,3
q28,codeqa,What,def convert Element Node Rename By Paths element Node geometry Output create Link Path element Node for geometry Output Child in geometry Output path Element xml simple reader Element Node path Element set Parent Add To Child Nodes element Node convert Element Node By Path path Element geometry Output Child,What does the code convert to a path xml element ?,the xml element,"def convert_element_to_path ( self, element, path ) : return path + element. get_element_by_path ( )",1,2,5,3
q29,codeqa,What,def convert XML Element Rename By Paths geometry Output xml Element xml Element class Name 'path'for geometry Output Child in geometry Output path Element xml simple reader XML Element path Element set Parent Add To Children xml Element convert XML Element Rename geometry Output Child path Element,What does the code convert to a path xml element ?,the xml element,"def convert_xml_element ( self, element, parent, path ) : 
    for child in element. children : 
        if isinstance ( child, xml. Element ) : 
            if child. tag == 'path' : 
                parent. append ( child. replace ( 'path', path ) ) 
                parent. append ( child. replace ( 'path', path ) ) 
                parent. append ( child. replace ( 'path', path ) ) 
                parent. append ( child. replace ( 'path', path ) ) 
                parent. append ( child. replace ( 'path',",1,2,3,2
q30,codeqa,What,def new key *args **kwargs return DES Cipher key *args **kwargs,What does the code create ?,a new des cipher,"def new key *args **kwargs return hashlib.md5 ( )
Question: What is the purpose of the code?",1,2,5,3
q31,codeqa,What,@contextmanagerdef pelican open filename mode u'rb' strip crs sys platform u'win 32 ' with codecs open filename mode encoding u'utf- 8 ' as infile content infile read if content[ 1] codecs BOM UTF 8 decode u'utf 8 ' content content[ 1 ]if strip crs content content replace u'\r\n' u'\n' yield content,What does the code open ?,a file,"def open_file ( self, filename, mode, encoding, errors, errorsmode, strip, crs, platform, with_bom, with_coding, with_encoding, with_content, with_decode, with_strip, with_replace ) : return open ( filename, mode, encoding, errors, errorsmode, strip, crs, platform, with_bom, with_coding, with_encoding, with_content, with_decode, with_strip, with_replace )",1,2,5,3
q32,codeqa,What,@contextmanagerdef pelican open filename mode u'rb' strip crs sys platform u'win 32 ' with codecs open filename mode encoding u'utf- 8 ' as infile content infile read if content[ 1] codecs BOM UTF 8 decode u'utf 8 ' content content[ 1 ]if strip crs content content replace u'\r\n' u'\n' yield content,What does the code return ?,its content,"def read_file ( self, filename ) : return open ( filename, mode = 'r', encoding = 'utf-8' ). read ( )",1,2,5,3
q33,codeqa,What,def convert Process XML Element Rename By Paths geometry Output xml Element convert XML Element Rename By Paths geometry Output xml Element process XML Element xml Element,What does the code convert to a path xml element ?,the xml element,"def convert ( self, element, paths ) : return element. replace ( 'geometry', 'path' )",5,5,5,5
q34,codeqa,What,def Index Definition To Proto app id index definition proto entity pb Composite Index proto set app id app id proto set id 0 proto set state entity pb Composite Index WRITE ONLY definition proto proto mutable definition definition proto set entity type index definition kind definition proto set ancestor index definition ancestor if index definition properties is not None for prop in index definition properties prop proto definition proto add property prop proto set name prop name prop proto set direction DIRECTION MAP[prop direction] return proto,What does the code transform to protocol buffer ?,individual index definition,def Index Definition To Proto app id index definition proto entity pb Composite Index proto set id 0 proto set state entity pb Composite Index WRITE ONLY definition proto proto mutable definition definition proto set entity type index definition kind definition proto set ancestor index definition ancestor if index definition properties is not None for prop in index definition properties prop proto definition proto add property prop proto set name prop name proto set direction DIRECTION MAP[prop direction] return proto,5,5,5,5
q35,codeqa,What,def convert XML Element Rename geometry Output xml Element xml Element class Name 'path'convert XML Element geometry Output xml Element,What does the code convert to a path xml element ?,the xml element,"def convert_xml_element ( self, xml_element, new_name ) : return xml_element. replace ( 'geometry', new_name )
Question: What does the code replace in the xml_element?
Answer: 'geometry'",5,5,5,5
q36,codeqa,What,def convert Element Node By Path element Node geometry Output create Link Path element Node element Node xml Object vertexes geometry Outputvertex add Geometry List element Node geometry Output,What does the code convert to a path xml element ?,the xml element,"def convert_element_by_path(element, geometry, output, path, element_node, element_node, xml_object, vertexes, geometry_output):
    if element_node == 'path':
        return path
    elif element_node =='vertex':
        return element_node
    elif element_node == 'geometry':
        return geometry
    elif element_node == 'link':
        return link
    elif element_node == 'xml':
        return xml_object
    elif element_node =='vertexes':
        return vertexes
    elif element_node == 'geometry_output':
        return geometry_output",1,1,1,1
q37,codeqa,What,def Index Definition To Proto app id index definition proto entity pb Composite Index proto set app id app id proto set id 0 proto set state entity pb Composite Index WRITE ONLY definition proto proto mutable definition definition proto set entity type index definition kind definition proto set ancestor index definition ancestor if index definition properties is not None for prop in index definition properties prop proto definition proto add property prop proto set name prop name prop proto set direction DIRECTION MAP[prop direction] return proto,What does the code transform individual index definition ?,to protocol buffer,"def transform_index_definition ( self, index_definition_pb2, **kwargs ) : return self. _index_definition_pb2. Add ( index_definition_pb2. Proto ( **kwargs ), index_definition_pb2. Set ( **kwargs ), index_definition_pb2. Proto ( **kwargs ) )",1,2,5,3
q38,codeqa,What,def select formatter class formatter name try return formatter registry[formatter name]except Key Error if ' ' not in formatter name raisereturn load formatter class formatter name,What does the code resolve by : * using one of the registered ones * loading a user - specified formatter class ?,the formatter class,select formatter class formatter name try return formatter registry[formatter name]except Key Error if'' not in formatter name raisereturn load formatter class formatter name,5,5,5,5
q39,codeqa,What,def convert XML Element geometry Output xml Element vertex add Geometry List geometry Output['vertex'] xml Element face add Geometry List geometry Output['face'] xml Element,What does the code convert to a trianglemesh xml element ?,the xml element,"def convert_xml_element ( self, element, output ) : 
    for vertex in element. vertices : 
        output. add ( {'vertex' : vertex, 'geometry' : self. geometry } ) 
    for face in element. faces : 
        output. add ( {'face' : face, 'geometry' : self. geometry } )",1,2,3,3
q40,codeqa,What,def image tag delete all context image id delete time None session None tags updated count image child entry delete all models Image Tag image id delete time session return tags updated count,What does the code delete for given image ?,all image tags,"def image_tag_delete_all(context, image_id, time, session, tags, updated_count):
    return tags[image_id]",1,2,5,3
q41,codeqa,What,def image member delete all context image id delete time None session None members updated count image child entry delete all models Image Member image id delete time session return members updated count,What does the code delete for given image ?,all image members,def image member delete all context image id delete time session None members updated count image child entry delete all models Image Member image id delete time session return members updated count,1,1,1,1
q42,codeqa,What,def register create keys from csr arguments session argument table **kwargs argument table['certificate-pem-outfile'] Query Out File Argument session session name 'certificate-pem-outfile' query 'certificate Pem' after call event 'after-call iot Create Certificate From Csr' perm 384,What does the code add to create - certificate - from - csr ?,certificate - pem - outfile,"def register ( self, **kwargs ) : return kwargs. get ( 'certificate-pem-outfile' )",5,5,5,5
q43,codeqa,What,def libvlc vlm get media instance time p instance psz name i instance f Cfunctions get 'libvlc vlm get media instance time' None or Cfunction 'libvlc vlm get media instance time' 1 1 1 None ctypes c int Instance ctypes c char p ctypes c int return f p instance psz name i instance,What does the code get by name or instance i d ?,vlm_media instance time,"def libvlc_vlm_get_media_instance_time ( self, instance, psz_name, i, f ) : return f ( instance, psz_name, i, ctypes. c_int ( 1 ) )",5,5,5,5
q44,codeqa,What,"def create settings file init True settings path os path join GAMEDIR 'server' 'conf' 'settings py' if not init if os path exists settings path inp raw input 'server/conf/settings pyalreadyexists Doyouwanttoresetit?y/[N]>' if not inp lower 'y' print ' Aborted ' sys exit else print ' Resetthesettingsfile ' default settings path os path join EVENNIA TEMPLATE 'server' 'conf' 'settings py' shutil copy default settings path settings path with open settings path 'r' as f settings string f read setting dict {'settings default' os path join EVENNIA LIB 'settings default py' 'servername' '""%s""' % GAMEDIR rsplit os path sep 1 [1 ] capitalize 'secret key' ""'%s'"" % create secret key }settings string settings string format **setting dict with open settings path 'w' as f f write settings string",What does the code use to build a working settings file ?,the template settings file,"def create_settings_file ( self, init = True, settings_path = None, inp = None, raw_input = True, default_path = None, template = None, shutil = True, copy = True, input_file = None, output_file = None, mode = 'w', mode = 'w', mode = 'w', mode = 'w', mode = 'w', mode = 'w', mode = 'w', mode = 'w', mode = 'w', mode = 'w', mode = 'w', mode = 'w', mode = 'w",1,1,1,1
q45,codeqa,What,def clear special values d l [d]while l i l pop pops []for k v in i items if v is REMOVE THIS KEY pops append k elif isinstance v dict l append v for k in pops i pop k,What does the code remove from dictionary ?,remove_this_key values,"def clear_special_values(d, l=[]):
    while l:
        for k, v in list(l):
            if v is None:
                l.remove(v)
            elif isinstance(v, dict):
                l = clear_special_values(v, l)
            elif isinstance(v, list):
                l = clear_special_values(l, v)",1,2,5,3
q46,codeqa,What,def libvlc vlm get media instance length p instance psz name i instance f Cfunctions get 'libvlc vlm get media instance length' None or Cfunction 'libvlc vlm get media instance length' 1 1 1 None ctypes c int Instance ctypes c char p ctypes c int return f p instance psz name i instance,What does the code get by name or instance i d ?,vlm_media instance length,def libvlc_vlm_get_media_instance_length(p instance psz name i instance f Cfunctions get 'libvlc vlm get media instance length' None or Cfunction 'libvlc vlm get media instance length' 1 1 1 None ctypes c int Instance ctypes c char p ctypes c int return f p instance psz name i instance,1,1,1,1
q47,codeqa,What,def cpu busy time times busy cpu tot time times busy - times idlebusy - getattr times 'iowait' 0 return busy,What does the code given a cpu_time ( ) ntuple calculate ?,the busy cpu time,"def cpu_busy_time ( self, ntuple ) : return self. _cpu_busy_time + ntuple. _cpu_time - ntuple. _times. _busy - ntuple. _times. _iowait - getattr ( ntuple, 'iowait', 0 )",5,5,5,5
q48,codeqa,What,"def generate node environment name filename stream None if not isinstance node nodes Template raise Type Error "" Can'tcompilenontemplatenodes"" generator Code Generator environment name filename stream generator visit node if stream is None return generator stream getvalue",What does the code generate ?,the python source for a node tree,"def generate_node_environment ( self, filename, stream, node, visit_node ) : return None if not isinstance ( node, Template ) and not isinstance ( stream, Generator ) and not isinstance ( visit_node, Generator ) and not isinstance ( self, Generator ) and not isinstance ( stream, Generator ) and not isinstance ( node, Generator ) and not isinstance ( filename, Generator ) and not isinstance ( visit_node, Generator ) and not isinstance ( self, Generator ) and not isinstance ( stream, Generator ) and not isinstance ( node, Generator ) and not isinstance ( filename, Generator ) and not isinstance ( visit_node, Generator ) and not",1,1,1,1
q49,codeqa,What,def get task statuses task ids response client describe tasks tasks task ids if response['failures'] [] raise Exception ' Thereweresomefailures \n{ 0 }' format response['failures'] status code response[' Response Metadata']['HTTP Status Code']if status code 200 msg ' Taskstatusrequestreceivedstatuscode{ 0 } \n{ 1 }'raise Exception msg format status code response return [t['last Status'] for t in response['tasks']],What does the code retrieve from ecs api returns list of { running|pending|stopped } for each i d in task_ids ?,task statuses,"def get_task_statuses ( self, task_ids ) : return [ t['status'] for t in response['tasks'] if t['status'] in ['running', 'pending','stopped'] ]",3,2,5,3
q50,codeqa,What,def fetch crl project id if not CONF use project ca project id Nonecrl file path crl path project id if not os path exists crl file path raise exception Crypto CRL File Not Found project project id with open crl file path 'r' as crlfile return crlfile read,What does the code get for project ?,crl file,"def fetch_crl_project_id ( self, crl_file_path ) : return crl_file_path
Question: What does the code return?
Answer: crl_file_path",1,2,5,3
q51,codeqa,What,@register tagdef render comment form parser token return Render Comment Form Node handle token parser token,What does the code render through the comments / form ?,the comment form,"def render_comment_form_parser ( self, token ) : return Render Comment Form Node",5,5,5,5
q52,codeqa,What,def add Bottom Loop delta Z loops bottom Loop loops[ 0 ]bottom Addition []bottom Z euclidean get Bottom Path bottom Loop + delta Z for point in bottom Loop bottom Addition append Vector 3 Index len bottom Addition point x point y bottom Z loops insert 0 bottom Addition number Of Vertexes 0for loop in loops for point in loop point index number Of Vertexesnumber Of Vertexes + 1,What does the code add to loops ?,bottom loop,"def add_bottom_loop_delta_z_loops_bottom_loop(bottom_loop_delta_z_loops_bottom_loop[0],bottom_loop_delta_z_loops_bottom_loop[1],bottom_loop_delta_z_loops_bottom_loop[2],bottom_loop_delta_z_loops_bottom_loop[3],bottom_loop_delta_z_loops_bottom_loop[4],bottom_loop_delta_z_loops_bottom_loop[5],bottom_loop_delta_z_loops_bottom_loop[6],bottom_loop_delta_z_loops_bottom_loop[7],bottom_loop_delta_z_loops_bottom_loop[8],bottom_loop_delta_z_loops_bottom_loop[9],bottom_loop_delta_z_loops_bottom_loop",1,1,1,1
q53,codeqa,What,@contextmanagerdef safe query string request qs request META['QUERY STRING']try request META['QUERY STRING'] iri to uri qs yield finally request META['QUERY STRING'] qs,What does the code turn into a unicode- and ascii - safe string ?,the query_string,"def safe_query_string ( self, qs ) : return ''.join ( ( quote ( q ) for q in qs if not q.startswith ( '%s=' ) ) + [ quote ( q ) for q in qs if q.startswith ( '%s=' ) ] )",1,2,5,3
q54,codeqa,What,def pre encrypt assertion response assertion response assertionresponse assertion Noneresponse encrypted assertion Encrypted Assertion if isinstance assertion list response encrypted assertion add extension elements assertion else response encrypted assertion add extension element assertion return response,What does the code move to within a encrypted_assertion ?,the assertion,"def encrypt_assertion ( self, assertion ) : 
    if isinstance ( assertion, list ) : 
        return encrypted_assertion ( self, assertion, reverse = True ) 
    else : 
        return encrypted_assertion ( self, assertion )",1,2,5,3
