id,dataset,category,code,question,answer,prediction,accuracy,completeness,clarity,relevance
q238,codeqa,When,def to epoch time date epoch datetime fromtimestamp 0 delta date - epoch try return int delta total seconds except Attribute Error return delta seconds + delta days * 24 * 3600,When does the code convert a datetime object to an integer number of seconds ?,since the unix epoch,"When the code converts a datetime object to an integer number of seconds, it does so when the 'fromtimestamp' argument is 0.",2,2,2,2
q245,codeqa,Where,def pad To n seq default None if len seq > n raise Value Error '%delementsismorethan%d ' % len seq n blank [default] * n blank[ len seq ] list seq return blank,In which direction does a sequence pad ?,out,In the same direction as the sequence.,2,2,2,2
q247,codeqa,How,def random rainbow s colors shuffle [ globals [i encode 'utf 8 ' ] if not str i isdigit else term color int i for i in c['CYCLE COLOR']]colored [random choice colors shuffle i for i in s]return '' join colored,How do a string with random color print ?,with each character,It prints a string with random colors.,2,2,2,2
q252,codeqa,When,def formstyle table inline form fields *args **kwargs def render row row id label widget comment hidden False class 'hide' if hidden else None row TR TD label class 'w 2 p fl' TD widget id row id class class if comment row append TD DIV class 'tooltip' title '%s %s' % label comment class 'w 2 p fc' return rowif args hidden kwargs get 'hidden' False return render row form fields args[ 0 ] args[ 1 ] hidden hidden else parent TABLE for row id label widget comment in fields row render row row id label widget comment parent append row return parent,Till when did by ifrc use old default eden form style ?,still,The code uses the old default form style until the 'hidden' argument is provided.,2,2,2,2
q267,codeqa,How,def get Cubic Path By Begin End begin control Points element Node end return svg reader get Cubic Points begin control Points end lineation get Number Of Bezier Points begin element Node end,How does the code get the cubic path ?,by begin and end,It gets the cubic path by reading the SVG file.,2,2,2,2
q312,codeqa,How,def get device devnum 0 if not custack custack push get gpu devnum return custack top,How does the code use a device ?,by device number,It is used as a default device.,2,2,2,2
q321,codeqa,Where,def pad To n seq default None if len seq > n raise Value Error '%delementsismorethan%d ' % len seq n blank [default] * n blank[ len seq ] list seq return blank,In which direction does a sequence pad ?,out,In the same direction as the sequence.,2,2,2,2
q329,codeqa,For what purpose,def make decorator func def decorate newfunc if hasattr func 'compat func name' name func compat func nameelse name func name newfunc dict func dict newfunc doc func doc newfunc module func module if not hasattr newfunc 'compat co firstlineno' newfunc compat co firstlineno func func code co firstlinenotry newfunc name nameexcept Type Error newfunc compat func name namereturn newfuncreturn decorate,For what purpose does a test decorator wrap ?,so as to properly replicate metadata of the decorated function,Answer: to check if the decorated function is compatible with the Python version.,2,2,2,2
q340,codeqa,Where,def next Line caller currentframe 1 return getsourcefile sys modules[caller f globals[' name ']] caller f lineno + 1,Where is this function called ?,where,The function is called from the current line of code.,2,2,2,2
q353,codeqa,How,@nottestdef run tests if main local vars inspect currentframe f back f localsif not local vars get ' name ' '' ' main ' returnfname local vars[' file ']try import faulthandlerfaulthandler enable except Exception passimport main try import pytestpytest main ['-s' '--tb short' fname] except Import Error print ' Runningtestsinscript\n %s' % fname run tests in object main print ' Testspass',How is it run ?,as a script,in a pytest environment,2,2,2,2
q357,codeqa,When,def inline singleton lists dsk dependencies None if dependencies is None dependencies {k get dependencies dsk task v for k v in dsk items }dependents reverse dict dependencies keys [k for k v in dsk items if istask v and v and v[ 0 ] is list and len dependents[k] 1 ]dsk inline dsk keys inline constants False for k in keys del dsk[k]return dsk,When are inline lists used only ?,once,inline lists are used when dependencies is None,2,2,2,2
q408,codeqa,How,def run gdb *args **env vars if env vars env os environ copy env update env vars else env Nonebase cmd 'gdb' '--batch' '-nx' if gdb major version gdb minor version > 7 4 base cmd + '-iex' 'add-auto-load-safe-path' + checkout hook path out err subprocess Popen base cmd + args stdout subprocess PIPE stderr subprocess PIPE env env communicate return out decode 'utf- 8 ' 'replace' err decode 'utf- 8 ' 'replace',How does gdb run ?,in --batch mode,It runs gdb with the specified arguments and returns the output.,2,2,2,2
q453,codeqa,How,def start name call None datacenter id get datacenter id conn get conn node get node conn name conn start server datacenter id datacenter id server id node['id'] return True,How does the code start a machine ?,by name,It starts a server.,2,2,2,2
q456,codeqa,How,def validate website url validate url URL Validator if url and ' //' not in url url u'http //%s' % url try validate url url except Validation Error raise Validation Error ' Enteravalid URL ' return url,How did website url format ?,properly,in http format,2,2,2,2
q463,codeqa,Where,def copy folders source destination if os path exists os path join 'dist' destination shutil rmtree os path join 'dist' destination shutil copytree os path join source os path join 'dist' destination,In which direction do files & folders copy ?,from source to destination,In the same direction.,2,2,2,2
q524,codeqa,How,def test cache config disable private browsing config stub tmpdir config stub data {'storage' {'cache-size' 1024 } 'general' {'private-browsing' True}}url 'http //qutebrowser org'metadata Q Network Cache Meta Data metadata set Url Q Url url assert metadata is Valid disk cache cache Disk Cache str tmpdir assert disk cache prepare metadata is None config stub set 'general' 'private-browsing' False content 'cute'preload cache disk cache url content assert disk cache data Q Url url read All content,How do config browse ?,private,Does the code enable private browsing.,2,2,2,2
q533,codeqa,For what purpose,def setup data with open os path join rootpath 'us-counties json' 'r' as f get id json load f county codes [x['id'] for x in get id['features']]county df pd Data Frame {'FIPS Code' county codes} dtype str df pd read csv os path join rootpath 'us county data csv' na values [''] df['FIPS Code'] df['FIPS Code'] astype str merged pd merge df county df on 'FIPS Code' how 'inner' return merged fillna method 'pad',For what purpose do economic data import ?,for testing,importing economic data,2,2,2,2
q542,codeqa,How,"def generate strings for category strings in funny translatable strings iteritems for string in strings print '#TRANSLATORS Donottranslateliterally Comeupwithafunny/relevantphrase seethe Englishversionforideas Acceptsmarkdownformatting 'print ""print '"" + string + ""' "" INTERVALS 'hour' 'day' 'month' TYPES 'uniques' 'pageviews' 'traffic' 'impressions' 'clicks' for interval in INTERVALS for type in TYPES print ""print '%sby%s' "" % type interval",How do strings generate ?,automatically,They concatenate and print the given strings.,2,2,2,2
q561,codeqa,How,def update user details backend details response user None is new False *args **kwargs if user is None returnchanged Falsefor name value in six iteritems details if not ignore field name is new if value and value getattr user name None setattr user name value changed Trueif changed user save,How do user details update ?,using data from provider,in-place,2,2,2,2
q572,codeqa,For what purpose,def file upload echo request r dict [ k f name for k f in request FILES items ] return Http Response json dumps r,For what purpose do info about uploaded files echo back ?,for tests,For file upload purposes.,2,2,2,2
q586,codeqa,How,def import migrated vhds session instance chain label disk type vdi label imported vhds session call plugin serialized 'migration py' 'move vhds into sr' instance uuid chain label sr path get sr path session uuid stack make uuid stack scan default sr session vdi uuid imported vhds['root']['uuid']vdi ref session call xenapi 'VDI get by uuid' vdi uuid set vdi info session vdi ref disk type vdi label disk type instance return {'uuid' vdi uuid 'ref' vdi ref},How do vhds move ?,via the xapi plugin,move into,2,2,2,2
q587,codeqa,When,def test ros fit invalid ratio ratio 1 0 / 10000 0 ros Random Over Sampler ratio ratio random state RND SEED assert raises Runtime Error ros fit X Y,When is an error raised ?,when the balancing ratio to fit is smaller than the one of the data,Runtime Error,2,2,2,2
q589,codeqa,When,@pytest fixture scope 'module' params ['gpu' 'cpu'] def backend default request be get backend request def cleanup be request getfixturevalue 'backend default' del berequest addfinalizer cleanup return be,When do the backend setup ?,before running a test,When the test is run.,2,2,2,2
q595,codeqa,How,def add callers target source new callers {}for func caller in target iteritems new callers[func] callerfor func caller in source iteritems if func in new callers if isinstance caller tuple new callers[func] tuple [ i[ 0 ] + i[ 1 ] for i in zip caller new callers[func] ] else new callers[func] + callerelse new callers[func] callerreturn new callers,How do two caller lists combine ?,in a single list,in a nested manner,2,2,2,2
q597,codeqa,How,@login required@expect jsondef delete item request usage key delete item usage key request user,How does internal helper method expose ?,without breaking existing bindings / dependencies,It does not expose the actual key.,2,2,2,2
q667,codeqa,How,def drop protected attrs model class values for attr in model class protected attributes if attr in values del values[attr],How did the code remove protected attributes from values dictionary ?,using the models _ _ protected_attributes _ _ field,it removed them,2,2,2,2
q677,codeqa,Where,def generate anchors base size 16 ratios [0 5 1 2] scales 2 ** np arange 3 6 base anchor np array [1 1 base size base size] - 1 ratio anchors ratio enum base anchor ratios anchors np vstack [ scale enum ratio anchors[i ] scales for i in range ratio anchors shape[ 0 ] ] return anchors,Where do aspect ratios x scales enumerate ?,wrt a reference window,x scales,2,2,2,2
q694,codeqa,How,@open file 1 mode 'wb' def write pajek G path encoding 'UTF- 8 ' for line in generate pajek G line + '\n'path write line encode encoding,How do graph write to path ?,in pajek format,writes to the file,2,2,2,2
q704,codeqa,Where,def all pairs bellman ford path G cutoff None weight 'weight' path single source bellman ford pathreturn {n path G n cutoff cutoff weight weight for n in G},Where do shortest paths between all nodes compute ?,in a weighted graph,all nodes,2,2,2,2
q707,codeqa,How,def get Transformed Vector 3 Blindly tetragrid vector 3 return Vector 3 get Transformed By List tetragrid[ 0 ] vector 3 get Transformed By List tetragrid[ 1 ] vector 3 get Transformed By List tetragrid[ 2 ] vector 3,How does the code get the vector3 multiplied by a tetragrid ?,without checking if the tetragrid exists,it multiplies each component of the vector3 by the corresponding component of the tetragrid.,2,2,2,2
q724,codeqa,How,def pretty longstring defstr prefix u'' wrap at 65 outstr u''for line in textwrap fill defstr wrap at split u'\n' outstr + prefix + line + u'\n' return outstr,How do a long string print ?,pretty,in 65 character lines,2,2,2,2
q740,codeqa,How,"def move src dst real dst dstif os path isdir dst if samefile src dst os rename src dst returnreal dst os path join dst basename src if os path exists real dst raise Error "" Destinationpath'%s'alreadyexists"" % real dst try os rename src real dst except OS Error if os path isdir src if destinsrc src dst raise Error "" Cannotmoveadirectory'%s'intoitself'%s' "" % src dst copytree src real dst symlinks True rmtree src else copy 2 src real dst os unlink src",How do a file or directory move to another location ?,recursively,copy or move,2,2,2,2
q768,codeqa,How,def mask buf key key [ord i for i in key]buf list buf for i char in enumerate buf buf[i] chr ord char ^ key[ i % 4 ] return '' join buf,How do a buffer of bytes mask ?,with a masking key,in-place,2,2,2,2
q774,codeqa,How,def iter http requests server player while not player or player running try yield server open timeout 2 5 except OS Error continue,How do http connections on a server accept ?,repeatedly,They are accepted with a timeout of 2.5 seconds.,2,2,2,2
q777,codeqa,How,def worker update context id filters None orm worker None **values return IMPL worker update context id filters filters orm worker orm worker **values,How do a worker update ?,with given values,in-place,2,2,2,2
q788,codeqa,Where,"@pytest mark skipif 'sys version info[ 0 ]< 3 ' def test simple annotations source dedent ""defannot a 3 \nreturna\n\nannot '' "" assert [d name for d in jedi Script source goto definitions ] ['str'] source dedent ""\ndefannot ret a 3 -> 3 \nreturna\n\nannot ret '' "" assert [d name for d in jedi Script source goto definitions ] ['str'] source dedent ""defannot a int \nreturna\n\nannot '' "" assert [d name for d in jedi Script source goto definitions ] ['int']",Where do annotations exist only ?,in python 3,in source code,2,2,2,2
q802,codeqa,How,def escape pattern s list pattern alphanum alphanumfor i in range len pattern c pattern[i]if c not in alphanum if c '\x 00 ' s[i] '\\ 000 'else s[i] '\\' + c return pattern[ 0] join s,How do all non - alphanumeric characters escape ?,in pattern,They are escaped as '\\'.,2,2,2,2
q803,codeqa,How,def to Base 64 s return binascii b2 a base 64 s [ -1 ],How do string s represent ?,as base64,They are represented as binary numbers.,2,2,2,2
q808,codeqa,Where,def group seq size def take seq n for i in xrange n yield seq next if not hasattr seq 'next' seq iter seq while True x list take seq size if x yield x else break,Where does an iterator return ?,over a series of lists of length size from iterable,the next item in the sequence,2,2,2,2
q818,codeqa,For what purpose,"def xhtml escape value return saxutils escape value {'""' '&quot ' ""'"" '&apos '}",For what purpose does the code escape a string ?,so it is valid within xml or xhtml,For HTML purposes.,2,2,2,2
q825,codeqa,How,def norm factor p k p asarray p dtype complex def G w '\n Gainoffilter\n'return abs k / prod 1j * w - p def cutoff w '\n Whengain -3 d B return 0 \n'return G w - 1 / np sqrt 2 return optimize newton cutoff 1 5,How does frequency shift to apply to delay - normalized filter such that -3 db point is at 1 rad / sec find ?,numerically,It shifts the frequency response of the delay filter by 1 rad/sec.,2,2,2,2
q835,codeqa,How,def walk top func arg warnings warnpy 3 k ' In 3 x os path walkisremovedinfavorofos walk ' try names os listdir top except os error returnfunc arg top names for name in names name join top name if isdir name and not islink name walk name func arg,How do tree walk ?,with callback function,"in depth, recursively.",2,2,2,2
q845,codeqa,How,def kb readout request readout slug readouts locale None mode None product None if readout slug not in readouts raise Http 404 return readouts[readout slug] request locale locale mode mode product product,How do the readout instantiate ?,with the given slug,in a dictionary,2,2,2,2
q847,codeqa,When,def suppress Warnings f *suppressed Warnings def warning Suppressing Wrapper *a **kw return run With Warnings Suppressed suppressed Warnings f *a **kw return tputil merge Function Metadata f warning Suppressing Wrapper,When does a callable unsuppress them ?,afterwards,When a callable is called.,2,2,2,2
q879,codeqa,When,def semilinear x try shape x shapex flatten x x tolist except Attribute Error shape 1 len x def f val if val < 0 return safe Exp val else return val + 1 0 return array list map f x reshape shape,When are the values of the array are positive ?,always,"When the values of the array are positive, the function returns the array.",2,2,2,2
q912,codeqa,How,def idzr rsvd m n matveca matvec k U V S ier id idzr rsvd m n matveca matvec k if ier raise RETCODE ERRO Rreturn U V S,How do svd of a complex matrix compute to a specified rank ?,using random matrix - vector multiplication,"The SVD of a complex matrix computes to a specified rank by computing U, V, and S such that U^H * U = S^2 and V^H * V = S^2, where S is a diagonal matrix containing the singular values.",2,2,2,2
q930,codeqa,For what purpose,def call xenhost session method arg dict try result session call plugin 'xenhost' method args arg dict if not result return ''return jsonutils loads result except Value Error LOG exception ' Unabletogetupdatedstatus' return Noneexcept session Xen API Failure as e LOG error ' Thecallto% method sreturnedanerror % e s ' % locals return e details[ 1 ],For what purpose will several methods need this general handling ?,for interacting with the xenhost plugin,Error handling.,2,2,2,2
q931,codeqa,When,def iter errback iterable errback *a **kw it iter iterable while True try yield next it except Stop Iteration breakexcept errback failure Failure *a **kw,When is an error caught ?,while iterating it,When an error occurs.,2,2,2,2
q935,codeqa,When,def make response *args if not args return current app response class if len args 1 args args[ 0 ]return current app make response args,When is to set additional headers in a view necessary ?,sometimes,"When is to set additional headers in a view necessary?
 
In a view that needs to return a response object.",2,2,2,2
q940,codeqa,When,def quality mime type ranges parsed ranges [parse media range r for r in ranges split ' ' ]return quality parsed mime type parsed ranges,When does the quality q of a mime - type return ?,when compared against the media - ranges in ranges,When the quality q of a mime-type is returned.,2,2,2,2
q952,codeqa,When,"def old Gi Init glibbase ensure Not Imported PYGTK MODULES "" Introspectedandstaticglib/gtkbindingsmustnotbemixed can'timportgireactorsincepygtk 2 moduleisalreadyimported "" global G Libfrom gi repository import G Libif getattr G Lib 'threads init' None is not None G Lib threads init glibbase ensure Not Imported [] '' prevent Imports PYGTK MODULES",When are pygtk and gi nt loaded ?,at the same time,"When are pygtk and gi loaded?
 
When the gi repository is imported.",2,2,2,2
q965,codeqa,How,def reexec updated modules None if odoo tools osutil is running as nt service subprocess call 'netstop{ 0 }&&netstart{ 0 }' format nt service name shell True exe os path basename sys executable args stripped sys argv if updated modules args + ['-u' ' ' join updated modules ]if not args or args[ 0 ] exe args insert 0 exe os execv sys executable args,How do openerp - server process reexecute ?,with the same arguments,reexec updated modules as a Windows NT service.,2,2,2,2
q980,codeqa,When,def start user as anon return {'user' ANON},When do we have a user object ?,always,When a user object is created.,2,2,2,2
q1034,codeqa,When,def libvlc media list insert media p ml p md i pos f Cfunctions get 'libvlc media list insert media' None or Cfunction 'libvlc media list insert media' 1 1 1 None ctypes c int Media List Media ctypes c int return f p ml p md i pos,When should a position the l{libvlc_media_list_lock } be held ?,upon entering this function,When the media list is being inserted.,2,2,2,2
q1035,codeqa,When,def update build queue apps schema Project apps get model u'projects' u' Project' for project in Project objects all if project build queue is not None if not project build queue startswith u'build-' project build queue u'build-{ 0 }' format project build queue project save,When did build- prefix imply ?,previously,build- prefix implies the project's build queue starts with 'build-',2,2,2,2
q1049,codeqa,For what purpose,def virtual if HAS NAPALM and 'proxy' in opts return virtualname else return False ' Themodulenapalm userscannotbeloaded NAPAL Morproxycouldnotbeloaded ',For what purpose must napalm library be installed ?,for this module to work,Napalm library must be installed for Themodulenapalm users cannot be loaded,2,2,2,2
q1053,codeqa,How,def find elem with wait context by wait time MAX WAIT TIME return Web Driver Wait context browser wait time until EC presence of element located by,How does an element find ?,with an explicit timeout,in the browser,2,2,2,2
q1073,codeqa,How,@pytest mark django dbdef test reject suggestion with comment client request users Comment get comment model unit Unit objects filter suggestion state 'pending' state UNTRANSLATED [0 ]sugg Suggestion objects filter unit unit state 'pending' [0 ]comment ' Thisisacomment 'user request users['user']if user username 'nobody' client login username user username password request users['password'] url '/xhr/units/%d/suggestions/%d/' % unit id sugg id response client delete url 'comment %s' % comment HTTP X REQUESTED WITH 'XML Http Request' can reject check permission 'review' response wsgi request or sugg user id user id if can reject assert response status code 200 rejected suggestion Suggestion objects get id sugg id assert rejected suggestion state 'rejected' assert Comment objects for model rejected suggestion get comment comment else assert response status code 403,How can tests suggestion be rejected ?,with a comment,reject by checking permission'review',2,2,2,2
q1078,codeqa,Where,"def python 2 unicode compatible klass if PY 2 if ' str ' not in klass dict raise Value Error ""@python 2 unicode compatiblecannotbeappliedto%sbecauseitdoesn'tdefine str "" % klass name klass unicode klass str klass str lambda self self unicode encode 'utf- 8 ' return klass",Where does a decorator define methods ?,under python 2,in the class definition,2,2,2,2
q1082,codeqa,How,@pytest mark parametrize 'fast writer' [ True False] def test byte string output fast writer t table Table [[' Hello' ' World']] dtype ['S 10 '] out String IO ascii write t out fast writer fast writer assert out getvalue splitlines ['col 0 ' ' Hello' ' World'],How were byte strings were output ?,with a leading b on py3,They were converted to ascii.,2,2,2,2
q1087,codeqa,Where,def split Zip path components os path normpath path split os sep for index component in enumerate components if component endswith ' zip' zip Path os sep join components[ 0 index + 1 ] archive Path '' join [ x + '/' for x in components[ index + 1 ]] return zip Path archive Path else return path None,In which direction does a path containing a zip file split ?,into,in reverse,2,2,2,2
q1092,codeqa,Where,"def repr wrapper klass if six PY 2 if ' repr ' not in klass dict raise Value Error ""@repr wrappercannotbeappliedto%sbecauseitdoesn'tdefine repr "" % klass name klass repr klass repr klass repr lambda self encodeutils safe encode self repr return klass",Where does a decorator define method ?,under python 2,in the class definition,2,2,2,2
q1127,codeqa,When,def get First Ancestor With Section Header entry for a in domhelpers get Parents entry [1 ] headers domhelpers find Nodes Named a 'h 2 ' if len headers > 0 return headersreturn [],When do the ancestors of c{entry visit ?,},"When the ancestors of c{entry} visit, when the length of the headers is greater than 0.",2,2,2,2
q1140,codeqa,How,def run DE Seq 2 input path out path mapping category subcategory 1 subcategory 2 DE Seq 2 diagnostic plots outfile diagnostic if DE Seq 2 diagnostic plots True command args [ '-i%s-o%s-c%s-x%s-y%s-d%s-e%s' % input path out path mapping category subcategory 1 subcategory 2 DE Seq 2 diagnostic plots outfile diagnostic ]else command args [ '-i%s-o%s-c%s-x%s-y%s' % input path out path mapping category subcategory 1 subcategory 2 ]rsl R Executor Tmp Dir get qiime temp dir app result rsl command args command args script name 'DE Seq 2 nbinom r' return app result,How did the code run the code ?,through rscript,It runs the DESeq2 command with the specified arguments.,2,2,2,2
q1143,codeqa,When,@contextlib contextmanagerdef context style after reset False initial settings mpl rc Params copy if after reset mpl rcdefaults try use style except mpl rc Params update initial settings raiseelse yield finally mpl rc Params update initial settings,When do style settings use ?,temporarily,after the context manager is exited.,2,2,2,2
q1146,codeqa,When,def setup templates *args **kwargs test once kwargs get 'test once' False for arg in args templates update arg templates['inclusion html'] '{{result}}'loaders [ 'django template loaders cached Loader' [ 'django template loaders locmem Loader' templates ] ]def decorator func @override settings TEMPLATES None @functools wraps func def inner self libraries getattr self 'libraries' {} self engine Engine libraries libraries loaders loaders func self if test once returnfunc self self engine Engine libraries libraries loaders loaders string if invalid 'INVALID' func self func self self engine Engine debug True libraries libraries loaders loaders func self func self return innerreturn decorator,When does test method run in the following order ?,multiple times,"in the decorator definition, then in the inner function.",2,2,2,2
q1173,codeqa,When,@contextlib contextmanagerdef temporary mutation obj **kwargs def is dict like thing return hasattr thing 'has key' def get thing attr default if is dict like thing return thing get attr default else return getattr thing attr default def set value thing attr val if is dict like thing thing[attr] valelse setattr thing attr val def delete thing attr if is dict like thing del thing[attr]else delattr thing attr NOT PRESENT object old values {}for attr new value in kwargs items old values[attr] get obj attr NOT PRESENT set value obj attr new value try yield finally for attr old value in old values items if old value is NOT PRESENT delete obj attr else set value obj attr old value,When do the attr set on a particular object to a given value ?,temporarily,When the object is a dictionary-like thing.,2,2,2,2
q1181,codeqa,How,def windll getnode if Uuid Create buffer 0 return UUID bytes buffer raw node,How does the code get the hardware address on windows ?,using ctypes,It gets the hardware address of a UUID on Windows.,2,2,2,2
q1191,codeqa,When,def repeat api call *args **kwargs marker None delay kwargs pop ' delay' None while True if delay time sleep delay resp api call marker marker *args **kwargs yield resp marker getattr resp 'marker' None if not marker return,When does the code make the same api call ?,repeatedly,When the code makes the same API call is when the'marker' is not present.,2,2,2,2
q1200,codeqa,How,def walk top func arg warnings warnpy 3 k ' In 3 x os path walkisremovedinfavorofos walk ' stacklevel 2 try names os listdir top except os error returnfunc arg top names for name in names name join top name if isdir name walk name func arg,How do tree walk ?,with callback function,"in depth, recursively.",2,2,2,2
q1206,codeqa,How,@pytest mark django dbdef test update user email without existing email trans member assert trans member email '' with pytest raises Email Address Does Not Exist Email Address objects get user trans member accounts utils update user email trans member 'trans member@this test' assert trans member email 'trans member@this test' with pytest raises Email Address Does Not Exist Email Address objects get user trans member,How do user email update ?,using update_user_email function,Does the code update the existing email of a user.,2,2,2,2
q1207,codeqa,How,def clean slashes path return path strip u'/' if settings APPEND SLASH else path lstrip u'/',How do trailing slashes remove ?,conditionally,Trailing slashes are removed.,2,2,2,2
q1222,codeqa,How,def patch cache control response **kwargs def dictitem s t s split ' ' 1 if len t > 1 return t[ 0 ] lower replace '-' ' ' t[ 1 ] else return t[ 0 ] lower replace '-' ' ' True def dictvalue t if t[ 1 ] True return t[ 0 ]else return t[ 0 ] + ' ' + str t[ 1 ] if response has header ' Cache- Control' cc cc delim re split response[' Cache- Control'] cc dict [dictitem el for el in cc] else cc {}for k v in kwargs items cc[k replace ' ' '-' ] vcc ' ' join [dictvalue el for el in cc items ] response[' Cache- Control'] cc,How does this function patch the cache - control header ?,by adding all keyword arguments to it,It patches the 'Cache-Control' header by replacing spaces with hyphens and splitting it into individual directives.,2,2,2,2
q1225,codeqa,How,def create url with params params None controller None action None extras None if not controller controller c controllerif not action action c actionif not extras extras {}url url for controller controller action action **extras return url with params url params,How do urls build ?,with parameters,in a step-by-step manner,2,2,2,2
q1227,codeqa,When,def csrf failure request reason '' from django middleware csrf import REASON NO REFERE Rt Template CSRF FAILRE TEMPLATE c Context {'DEBUG' settings DEBUG 'reason' reason 'no referer' reason REASON NO REFERER } return Http Response Forbidden t render c mimetype 'text/html',When did default view use ?,when request fails csrf protection,When does the default view use the 'no referer' reason?,2,2,2,2
q1274,codeqa,Where,def compare optimizers optimizers random a -1 3 + np random random size 100 random b 0 3 + np random random size 100 param grid product FUNCTIONS random a random b print ' Benching 1 Droot-finderoptimizersfromscipy optimize 'for optimizer in OPTIMIZERS print '% 20 s %8 itotalfunctioncalls' % optimizer name bench optimizer optimizer param grid,Where did all the optimizers give ?,on a grid of a few different functions,Benchmarks,2,2,2,2
q1295,codeqa,For what purpose,def fitness calculator genome assert isinstance genome Mutable Seq ' Expected Mutable Seqforagenome 'regular seq genome toseq return int str regular seq,For what purpose do fitness calculate ?,for testing purposes,For optimization,2,2,2,2
q1307,codeqa,When,def get build platform try from distutils util import get platformplat get platform except Import Error import platformplat platform platform if sys platform 'darwin' and not plat startswith 'macosx-' try version macosx vers machine os uname [4 ] replace '' ' ' return 'macosx-%d %d-%s' % int version[ 0 ] int version[ 1 ] macosx arch machine except Value Error passreturn plat,When is this the same as distutils ?,currently,When the platform is macOS.,2,2,2,2
